method,endpoint,endpointLength,executionTime
DELETE,/api/blog/posts/3183,4,0.032482147216796875
GET,/api/doc,2,0.06241011619567871
POST,/api/blog/posts,3,0.039498090744018555
POST,/api/blog/posts,3,0.031616926193237305
POST,/api/blog/posts,3,0.0311434268951416
POST,/api/blog/posts,3,0.05834078788757324
POST,/api/blog/posts,3,0.04326367378234863
POST,/api/blog/posts,3,0.022233963012695312
POST,/api/blog/posts,3,0.024413108825683594
POST,/api/blog/posts,3,0.024371862411499023
POST,/api/blog/posts,3,0.02488255500793457
POST,/api/blog/posts,3,0.03922915458679199
POST,/api/blog/posts,3,0.05367612838745117
POST,/api/blog/posts,3,0.02749490737915039
POST,/api/blog/posts,3,0.032035112380981445
POST,/api/blog/posts,3,0.040848731994628906
POST,/api/blog/posts,3,0.024509429931640625
POST,/api/blog/posts,3,0.025109529495239258
POST,/api/blog/posts,3,0.029268503189086914
POST,/api/blog/posts,3,0.03632187843322754
GET,/api/blog/posts/3193,4,0.028687715530395508
PUT,/api/blog/posts/3194,4,0.035388946533203125
PUT,/api/blog/posts/3194,4,0.027551651000976562
DELETE,/api/blog/posts/3196,4,0.03034663200378418
GET,/api/doc,2,0.026201248168945312
POST,/api/blog/posts,3,0.04518485069274902
POST,/api/blog/posts,3,0.02482151985168457
POST,/api/blog/posts,3,0.02599954605102539
POST,/api/blog/posts,3,0.04078960418701172
POST,/api/blog/posts,3,0.04202580451965332
POST,/api/blog/posts,3,0.02579808235168457
POST,/api/blog/posts,3,0.027492761611938477
POST,/api/blog/posts,3,0.04927468299865723
POST,/api/blog/posts,3,0.038217782974243164
POST,/api/blog/posts,3,0.025937795639038086
POST,/api/blog/posts,3,0.027422428131103516
POST,/api/blog/posts,3,0.04377913475036621
POST,/api/blog/posts,3,0.027425765991210938
POST,/api/blog/posts,3,0.025731801986694336
GET,/api/blog/posts/3206,4,0.0256807804107666
PUT,/api/blog/posts/3207,4,0.04299020767211914
PUT,/api/blog/posts/3207,4,0.025462865829467773
PUT,/api/blog/posts/3208,4,0.029217243194580078
DELETE,/api/blog/posts/3210,4,0.035566091537475586
GET,/api/doc,2,0.027517080307006836
POST,/api/blog/posts,3,0.04332995414733887
POST,/api/blog/posts,3,0.027422189712524414
POST,/api/blog/posts,3,0.02840256690979004
POST,/api/blog/posts,3,0.04349970817565918
POST,/api/blog/posts,3,0.04072904586791992
POST,/api/blog/posts,3,0.02445244789123535
POST,/api/blog/posts,3,0.0251615047454834
POST,/api/blog/posts,3,0.032263994216918945
POST,/api/blog/posts,3,0.033414363861083984
POST,/api/blog/posts,3,0.045995473861694336
POST,/api/blog/posts,3,0.040329933166503906
POST,/api/blog/posts,3,0.024907827377319336
POST,/api/blog/posts,3,0.026702404022216797
POST,/api/blog/posts,3,0.04229235649108887
